Group,feature,n_detected,n_total,Donor,gene_id,order
AB,DonA__EMOJOO_00530,10,10,DonA,EMOJOO_00530,first
AB,DonA__EMOJOO_00535,10,10,DonA,EMOJOO_00535,first
AB,DonA__EMOJOO_00540,10,10,DonA,EMOJOO_00540,first
AB,DonA__EMOJOO_00545,10,10,DonA,EMOJOO_00545,first
AB,DonA__EMOJOO_00550,10,10,DonA,EMOJOO_00550,first
AB,DonA__EMOJOO_00555,10,10,DonA,EMOJOO_00555,first
AB,DonA__EMOJOO_00560,10,10,DonA,EMOJOO_00560,first
AB,DonA__EMOJOO_00565,10,10,DonA,EMOJOO_00565,first
AB,DonA__EMOJOO_00570,10,10,DonA,EMOJOO_00570,first
AB,DonA__EMOJOO_00575,10,10,DonA,EMOJOO_00575,first
AB,DonA__EMOJOO_00580,10,10,DonA,EMOJOO_00580,first
AB,DonA__EMOJOO_00585,10,10,DonA,EMOJOO_00585,first
AB,DonA__EMOJOO_00590,10,10,DonA,EMOJOO_00590,first
AB,DonA__EMOJOO_00595,10,10,DonA,EMOJOO_00595,first
AB,DonA__EMOJOO_00600,10,10,DonA,EMOJOO_00600,first
AB,DonA__EMOJOO_00605,10,10,DonA,EMOJOO_00605,first
AB,DonA__EMOJOO_00610,10,10,DonA,EMOJOO_00610,first
AB,DonA__EMOJOO_00615,10,10,DonA,EMOJOO_00615,first
AB,DonA__EMOJOO_00620,10,10,DonA,EMOJOO_00620,first
AB,DonA__EMOJOO_00625,10,10,DonA,EMOJOO_00625,first
AB,DonA__EMOJOO_00630,10,10,DonA,EMOJOO_00630,first
AB,DonA__EMOJOO_00635,10,10,DonA,EMOJOO_00635,first
AB,DonA__EMOJOO_00640,10,10,DonA,EMOJOO_00640,first
AB,DonA__EMOJOO_00645,10,10,DonA,EMOJOO_00645,first
AB,DonA__EMOJOO_00650,10,10,DonA,EMOJOO_00650,first
AB,DonA__EMOJOO_00655,10,10,DonA,EMOJOO_00655,first
AB,DonA__EMOJOO_00660,10,10,DonA,EMOJOO_00660,first
AB,DonA__EMOJOO_00665,10,10,DonA,EMOJOO_00665,first
AB,DonA__EMOJOO_00670,10,10,DonA,EMOJOO_00670,first
AB,DonA__EMOJOO_00675,10,10,DonA,EMOJOO_00675,first
AB,DonA__EMOJOO_00680,10,10,DonA,EMOJOO_00680,first
AB,DonA__EMOJOO_00685,10,10,DonA,EMOJOO_00685,first
AB,DonA__EMOJOO_00690,10,10,DonA,EMOJOO_00690,first
AB,DonA__EMOJOO_00695,10,10,DonA,EMOJOO_00695,first
AB,DonA__EMOJOO_00700,10,10,DonA,EMOJOO_00700,first
AB,DonA__EMOJOO_00705,10,10,DonA,EMOJOO_00705,first
AB,DonA__EMOJOO_00710,10,10,DonA,EMOJOO_00710,first
AB,DonA__EMOJOO_00715,10,10,DonA,EMOJOO_00715,first
AB,DonA__EMOJOO_00720,10,10,DonA,EMOJOO_00720,first
AB,DonA__EMOJOO_00725,10,10,DonA,EMOJOO_00725,first
AB,DonA__EMOJOO_00730,10,10,DonA,EMOJOO_00730,first
AB,DonA__EMOJOO_00735,10,10,DonA,EMOJOO_00735,first
AB,DonA__EMOJOO_00740,10,10,DonA,EMOJOO_00740,first
AB,DonA__EMOJOO_00745,10,10,DonA,EMOJOO_00745,first
AB,DonA__EMOJOO_00750,10,10,DonA,EMOJOO_00750,first
AB,DonA__EMOJOO_00755,10,10,DonA,EMOJOO_00755,first
AB,DonA__EMOJOO_00760,10,10,DonA,EMOJOO_00760,first
AB,DonA__EMOJOO_00765,10,10,DonA,EMOJOO_00765,first
AB,DonA__EMOJOO_00785,10,10,DonA,EMOJOO_00785,first
AB,DonA__EMOJOO_00790,10,10,DonA,EMOJOO_00790,first
AB,DonA__EMOJOO_00795,10,10,DonA,EMOJOO_00795,first
AB,DonA__EMOJOO_00800,10,10,DonA,EMOJOO_00800,first
AB,DonA__EMOJOO_00805,10,10,DonA,EMOJOO_00805,first
AB,DonA__EMOJOO_00810,10,10,DonA,EMOJOO_00810,first
AB,DonA__EMOJOO_00815,10,10,DonA,EMOJOO_00815,first
AB,DonA__EMOJOO_00820,10,10,DonA,EMOJOO_00820,first
AB,DonA__EMOJOO_00825,10,10,DonA,EMOJOO_00825,first
AB,DonA__EMOJOO_00830,10,10,DonA,EMOJOO_00830,first
AB,DonA__EMOJOO_00835,10,10,DonA,EMOJOO_00835,first
AB,DonA__EMOJOO_00840,10,10,DonA,EMOJOO_00840,first
AB,DonA__EMOJOO_00845,10,10,DonA,EMOJOO_00845,first
AB,DonA__EMOJOO_00850,10,10,DonA,EMOJOO_00850,first
AB,DonA__EMOJOO_00855,10,10,DonA,EMOJOO_00855,first
AB,DonA__EMOJOO_00860,10,10,DonA,EMOJOO_00860,first
AB,DonA__EMOJOO_00865,10,10,DonA,EMOJOO_00865,first
AB,DonA__EMOJOO_00870,10,10,DonA,EMOJOO_00870,first
AB,DonA__EMOJOO_00875,10,10,DonA,EMOJOO_00875,first
AB,DonA__EMOJOO_00880,10,10,DonA,EMOJOO_00880,first
AB,DonA__EMOJOO_00885,10,10,DonA,EMOJOO_00885,first
